EV_Type,Program,Scenario,Year,Customer_Type,beta_no_install,beta_install_required
MHDV,DLC,flat,2030,recurring,0.0007630181002551722,
MHDV,DLC,flat,2035,recurring,0.0010826648474238176,
MHDV,DLC,flat,2040,recurring,0.001533181634210667,
MHDV,DLC,flat,2045,recurring,0.002303345168166162,
MHDV,DLC,flat,2050,recurring,0.0071441327533768185,
MHDV,DLC,mid,2025,recurring,0.0009271454778308903,
MHDV,DLC,mid,2030,recurring,0.00137343258045931,
MHDV,DLC,mid,2035,recurring,0.0019487967253628718,
MHDV,DLC,mid,2040,recurring,0.0027597269415792006,
MHDV,DLC,mid,2045,recurring,0.004146021302699092,
MHDV,DLC,mid,2050,recurring,0.012859438956078273,
MHDV,DLC,low,2025,recurring,0.00024877083482805997,
MHDV,DLC,low,2030,recurring,0.00024877083482805997,
MHDV,DLC,low,2035,recurring,0.00024877083482805997,
MHDV,DLC,low,2040,recurring,0.00024877083482805997,
MHDV,DLC,low,2045,recurring,0.00024877083482805997,
MHDV,DLC,low,2050,recurring,0.00024877083482805997,
MHDV,DLC,high,2025,recurring,0.005511190487896452,
MHDV,DLC,high,2030,recurring,0.00817357710843105,
MHDV,DLC,high,2035,recurring,0.015403270679109893,
MHDV,DLC,high,2040,recurring,0.03465735902799725,
MHDV,DLC,high,2045,recurring,0.09241962407465934,
MHDV,DLC,high,2050,recurring,,
MHDV,RTP,flat,2025,recurring,0.0004587169060064298,
MHDV,RTP,flat,2030,recurring,0.0006702210487744508,
MHDV,RTP,flat,2035,recurring,0.0009316811453683009,
MHDV,RTP,flat,2040,recurring,0.001274238211651097,
MHDV,RTP,flat,2045,recurring,0.0017720434589032752,
MHDV,RTP,flat,2050,recurring,0.002679132148885378,
MHDV,RTP,mid,2025,recurring,0.0008256904308115736,
MHDV,RTP,mid,2030,recurring,0.0012063978877940114,
MHDV,RTP,mid,2035,recurring,0.0016770260616629415,
MHDV,RTP,mid,2040,recurring,0.002293628780971975,
MHDV,RTP,mid,2045,recurring,0.0031896782260258955,
MHDV,RTP,mid,2050,recurring,0.00482243786799368,
MHDV,RTP,low,2025,recurring,0.00022396651710831673,
MHDV,RTP,low,2030,recurring,0.00022396651710831673,
MHDV,RTP,low,2035,recurring,0.00022396651710831673,
MHDV,RTP,low,2040,recurring,0.00022396651710831673,
MHDV,RTP,low,2045,recurring,0.00022396651710831673,
MHDV,RTP,low,2050,recurring,0.00022396651710831673,
MHDV,RTP,high,2025,recurring,0.004774244658564294,
MHDV,RTP,high,2030,recurring,0.0069979221229318385,
MHDV,RTP,high,2035,recurring,0.01272369227003336,
MHDV,RTP,high,2040,recurring,0.026449417609700692,
MHDV,RTP,high,2045,recurring,0.06374624856722232,
MHDV,RTP,high,2050,recurring,,
MHDV,TOU,flat,2025,recurring,0.00024793727923801096,
MHDV,TOU,flat,2030,recurring,0.00014203707945542764,
MHDV,TOU,flat,2035,recurring,0.00011706723961980698,
MHDV,TOU,flat,2040,recurring,0.00010590019978258322,
MHDV,TOU,flat,2045,recurring,0.00011706723961980712,
MHDV,TOU,flat,2050,recurring,0.00013260750848062902,
MHDV,TOU,high,2025,recurring,0.0013230062581589212,
MHDV,TOU,high,2030,recurring,0.0016537578226986514,
MHDV,TOU,high,2035,recurring,0.0022050104302648687,
MHDV,TOU,high,2040,recurring,0.003307515645397303,
MHDV,TOU,high,2045,recurring,0.006615031290794606,
MHDV,TOU,high,2050,recurring,,
MHDV,TOU,low,2025,recurring,0.00012678610870125559,
MHDV,TOU,low,2030,recurring,0.00012678610870125559,
MHDV,TOU,low,2035,recurring,0.00012678610870125559,
MHDV,TOU,low,2040,recurring,0.00012678610870125559,
MHDV,TOU,low,2045,recurring,0.00012678610870125559,
MHDV,TOU,low,2050,recurring,0.00012678610870125559,
MHDV,TOU,mid,2025,recurring,0.00044628710262841967,
MHDV,TOU,mid,2030,recurring,0.0002556667430197698,
MHDV,TOU,mid,2035,recurring,0.00021072103131565258,
MHDV,TOU,mid,2040,recurring,0.00019062035960864978,
MHDV,TOU,mid,2045,recurring,0.00021072103131565282,
MHDV,TOU,mid,2050,recurring,0.00023869351526513224,
